scrape_datetime,Startinterval,Endinterval,Stufe,Anlagen
2025-04-28T14:56:52Z,"23.04.2025, 05:15 Uhr",,0,C1001233700
2025-04-28T14:56:52Z,"23.04.2025, 05:15 Uhr",,0,C1098901815
2025-04-28T14:56:52Z,"23.04.2025, 05:15 Uhr",,0,C1001233370
2025-04-28T14:56:52Z,"23.04.2025, 05:15 Uhr",,0,C1001234435
2025-04-28T14:56:52Z,"23.04.2025, 08:00 Uhr",,0,C1001216988
2025-04-28T14:56:52Z,"23.04.2025, 08:00 Uhr",,20,C1001234956
2025-04-28T14:56:52Z,"23.04.2025, 08:00 Uhr","23.04.2025, 09:00 Uhr",20,C1001234956
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001234956
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1098817484
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,60,C1001232900
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001238742
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001208703
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr","23.04.2025, 09:00 Uhr",0,C1001245789
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001220343
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001246216
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,60,C1001215592
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,60,C1001232900
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001238742
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001208703
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr","23.04.2025, 09:00 Uhr",0,C1001245789
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001220343
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,0,C1001246216
2025-04-28T14:56:52Z,"23.04.2025, 09:00 Uhr",,60,C1001215592
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001235376
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001236506
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001233651
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210005
2025-04-28T14:56:52Z,"23.04.2025, 09:15 Uhr",,0,C1001210013
